date,campaign_name,channel,impressions,clicks,ctr,cpc,spend,conversions,conversion_rate,cpa,revenue,roas,engagement_rate,video_views,reach,frequency
2024-09-04,Search - High Intent Keywords,Google Search,91000,4550,5.00,22300,101465000,195,4.29,520000,48750000,0.48,0,0,0,0
2024-09-04,Retargeting - Abandoned Cart,Display,45000,1350,3.00,8300,11205000,73,5.41,153500,14600000,1.30,2.2,0,38000,1.18
2024-09-04,Email - Weekly Newsletter,Email,15800,2054,13.00,1460,2998840,100,4.87,30000,21000000,7.00,18.7,0,15800,1.00
2024-09-05,Brand Awareness Q3,Facebook,130000,3380,2.60,12500,42250000,88,2.60,480000,19360000,0.46,4.3,16000,102000,1.27
2024-09-05,Product Launch - Fall Collection,Instagram,102000,3060,3.00,15200,46512000,95,3.10,490000,20900000,0.45,5.9,23400,85000,1.20
2024-09-05,Search - High Intent Keywords,Google Search,88000,4400,5.00,22500,99000000,188,4.27,527000,47000000,0.47,0,0,0,0
2024-09-05,Retargeting - Abandoned Cart,Display,44000,1320,3.00,8500,11220000,71,5.38,158000,14200000,1.27,2.1,0,37000,1.19
2024-09-05,Email - Weekly Newsletter,Email,15400,2002,13.00,1500,3003000,97,4.85,30900,20370000,6.78,18.5,0,15400,1.00
2024-09-06,Brand Awareness Q3,Facebook,138000,3588,2.60,12200,43773600,93,2.59,471000,20460000,0.47,4.5,16800,107000,1.29
2024-09-06,Product Launch - Fall Collection,Instagram,107000,3210,3.00,14900,47829000,100,3.12,478000,22000000,0.46,6.1,24400,89000,1.20
2024-09-06,Search - High Intent Keywords,Google Search,93000,4650,5.00,22200,103230000,199,4.28,519000,49750000,0.48,0,0,0,0
2024-09-06,Retargeting - Abandoned Cart,Display,46000,1380,3.00,8200,11316000,75,5.43,151000,15000000,1.33,2.3,0,38500,1.19
2024-09-06,Email - Weekly Newsletter,Email,16000,2080,13.00,1440,2995200,102,4.90,29400,21420000,7.15,18.8,0,16000,1.00
2024-09-07,Brand Awareness Q3,Facebook,133000,3458,2.60,12400,42879200,90,2.60,476000,19800000,0.46,4.3,16200,104000,1.28
2024-09-07,Product Launch - Fall Collection,Instagram,104000,3120,3.00,15100,47112000,97,3.11,486000,21340000,0.45,6.0,23800,86000,1.21
2024-09-07,Search - High Intent Keywords,Google Search,90000,4500,5.00,22400,100800000,193,4.29,522000,48250000,0.48,0,0,0,0
2024-09-07,Retargeting - Abandoned Cart,Display,45000,1350,3.00,8400,11340000,73,5.41,155000,14600000,1.29,2.2,0,38000,1.18
2024-09-07,Email - Weekly Newsletter,Email,15600,2028,13.00,1480,3001440,99,4.88,30300,20790000,6.93,18.6,0,15600,1.00
2024-09-08,Brand Awareness Q3,Facebook,140000,3640,2.60,12100,44044000,95,2.61,464000,20900000,0.47,4.6,17000,108000,1.30
2024-09-08,Product Launch - Fall Collection,Instagram,109000,3270,3.00,14800,48396000,102,3.12,475000,22440000,0.46,6.2,24800,90000,1.21
2024-09-08,Search - High Intent Keywords,Google Search,95000,4750,5.00,22100,104975000,203,4.27,517000,50750000,0.48,0,0,0,0
2024-09-08,Retargeting - Abandoned Cart,Display,47000,1410,3.00,8100,11421000,76,5.39,150000,15200000,1.33,2.3,0,39000,1.21
2024-09-08,Email - Weekly Newsletter,Email,16200,2106,13.00,1420,2990520,104,4.94,28800,21840000,7.30,19.0,0,16200,1.00
2024-09-09,Brand Awareness Q3,Facebook,136000,3536,2.60,12300,43492800,92,2.60,473000,20240000,0.47,4.4,16600,106000,1.28
2024-09-09,Product Launch - Fall Collection,Instagram,106000,3180,3.00,15000,47700000,99,3.11,482000,21780000,0.46,6.0,24200,88000,1.20
2024-09-09,Search - High Intent Keywords,Google Search,92000,4600,5.00,22300,102580000,197,4.28,521000,49250000,0.48,0,0,0,0
2024-09-09,Retargeting - Abandoned Cart,Display,46000,1380,3.00,8300,11454000,74,5.36,155000,14800000,1.29,2.2,0,38500,1.19
2024-09-09,Email - Weekly Newsletter,Email,15800,2054,13.00,1460,2998840,101,4.92,29700,21210000,7.08,18.7,0,15800,1.00
2024-09-10,Brand Awareness Q3,Facebook,143000,3718,2.60,12000,44616000,97,2.61,460000,21340000,0.48,4.7,17200,110000,1.30
2024-09-10,Product Launch - Fall Collection,Instagram,111000,3330,3.00,14700,48951000,104,3.12,471000,22880000,0.47,6.3,25200,92000,1.21
2024-09-10,Search - High Intent Keywords,Google Search,97000,4850,5.00,22000,106700000,207,4.27,516000,51750000,0.48,0,0,0,0
2024-09-10,Retargeting - Abandoned Cart,Display,48000,1440,3.00,8000,11520000,78,5.42,148000,15600000,1.35,2.4,0,40000,1.20
2024-09-10,Email - Weekly Newsletter,Email,16400,2132,13.00,1400,2984800,106,4.97,28200,22260000,7.46,19.2,0,16400,1.00
