month,department,revenue,cogs,gross_profit,opex_sales,opex_marketing,opex_rnd,opex_ga,headcount,arr,mrr,churn_rate,cac,ltv,burn_rate
2024-07,Engineering,2285000,512000,1773000,375000,448000,678000,210000,64,28900000,2408333,1.7,7900,51000,70000
2024-07,Sales,2285000,512000,1773000,375000,448000,678000,210000,44,28900000,2408333,1.7,7900,51000,70000
2024-07,Marketing,2285000,512000,1773000,375000,448000,678000,210000,37,28900000,2408333,1.7,7900,51000,70000
2024-07,Customer Success,2285000,512000,1773000,375000,448000,678000,210000,24,28900000,2408333,1.7,7900,51000,70000
2024-07,Finance,2285000,512000,1773000,375000,448000,678000,210000,11,28900000,2408333,1.7,7900,51000,70000
2024-07,HR,2285000,512000,1773000,375000,448000,678000,210000,8,28900000,2408333,1.7,7900,51000,70000
2024-07,Operations,2285000,512000,1773000,375000,448000,678000,210000,18,28900000,2408333,1.7,7900,51000,70000
2024-08,Engineering,2365000,528000,1837000,395000,472000,705000,215000,66,30500000,2541667,1.4,7500,52500,65000
2024-08,Sales,2365000,528000,1837000,395000,472000,705000,215000,46,30500000,2541667,1.4,7500,52500,65000
2024-08,Marketing,2365000,528000,1837000,395000,472000,705000,215000,39,30500000,2541667,1.4,7500,52500,65000
2024-08,Customer Success,2365000,528000,1837000,395000,472000,705000,215000,25,30500000,2541667,1.4,7500,52500,65000
2024-08,Finance,2365000,528000,1837000,395000,472000,705000,215000,11,30500000,2541667,1.4,7500,52500,65000
2024-08,HR,2365000,528000,1837000,395000,472000,705000,215000,9,30500000,2541667,1.4,7500,52500,65000
2024-08,Operations,2365000,528000,1837000,395000,472000,705000,215000,19,30500000,2541667,1.4,7500,52500,65000
2024-09,Engineering,2435000,545000,1890000,412000,495000,728000,220000,68,31800000,2650000,1.6,7800,53000,67000
2024-09,Sales,2435000,545000,1890000,412000,495000,728000,220000,48,31800000,2650000,1.6,7800,53000,67000
2024-09,Marketing,2435000,545000,1890000,412000,495000,728000,220000,41,31800000,2650000,1.6,7800,53000,67000
2024-09,Customer Success,2435000,545000,1890000,412000,495000,728000,220000,26,31800000,2650000,1.6,7800,53000,67000
2024-09,Finance,2435000,545000,1890000,412000,495000,728000,220000,12,31800000,2650000,1.6,7800,53000,67000
2024-09,HR,2435000,545000,1890000,412000,495000,728000,220000,9,31800000,2650000,1.6,7800,53000,67000
2024-09,Operations,2435000,545000,1890000,412000,495000,728000,220000,20,31800000,2650000,1.6,7800,53000,67000
2024-10,Engineering,2518000,562000,1956000,430000,520000,755000,225000,70,33500000,2791667,1.5,7600,54500,63000
2024-10,Sales,2518000,562000,1956000,430000,520000,755000,225000,50,33500000,2791667,1.5,7600,54500,63000
2024-10,Marketing,2518000,562000,1956000,430000,520000,755000,225000,43,33500000,2791667,1.5,7600,54500,63000
2024-10,Customer Success,2518000,562000,1956000,430000,520000,755000,225000,27,33500000,2791667,1.5,7600,54500,63000
2024-10,Finance,2518000,562000,1956000,430000,520000,755000,225000,12,33500000,2791667,1.5,7600,54500,63000
2024-10,HR,2518000,562000,1956000,430000,520000,755000,225000,10,33500000,2791667,1.5,7600,54500,63000
2024-10,Operations,2518000,562000,1956000,430000,520000,755000,225000,21,33500000,2791667,1.5,7600,54500,63000
